gender,event,age_from,age_to,total_n,overall_mean_zscore,overall_median_improvement,overall_mean_improvement,correlation_zscore_improvement,correlation_pvalue,pct_improving,pct_getting_slower
F,50 Free,15,16,335,0.2615585320951525,0.3100000000000023,0.32328358208955227,-0.3542472864611954,4.7557513482843206e-12,79.70149253731343,20.0
F,50 Free,16,17,339,0.28127352307818615,0.1499999999999985,0.1748377581120944,-0.40122407383774045,8.881784197001252e-16,65.48672566371681,33.6283185840708
F,50 Free,17,18,309,0.07203449793370113,-0.1099999999999994,-0.0929126213592232,-0.060541868010332706,0.28790503360291764,39.482200647249186,59.22330097087378
F,100 Free,15,16,341,0.28025815452921105,0.759999999999998,0.7339882697947214,-0.4214714670317155,0.0,80.35190615835776,19.35483870967742
F,100 Free,16,17,359,0.2319055348674621,0.3700000000000045,0.4127019498607243,-0.31635734478862737,2.9570168535997254e-10,71.86629526462396,28.133704735376046
F,100 Free,17,18,312,0.0928271105316439,-0.1499999999999985,-0.2152564102564105,-0.0977765691452673,0.08366194316765285,44.55128205128205,55.12820512820513
F,200 Free,15,16,348,0.24926024501100358,1.5899999999999892,1.710919540229884,-0.31543384631036125,6.286704490321426e-10,78.73563218390804,21.26436781609195
F,200 Free,16,17,350,0.2375821983413479,0.7349999999999923,0.7695999999999991,-0.294524858852716,8.960980846239863e-09,66.85714285714286,32.857142857142854
F,200 Free,17,18,289,0.1751232939801957,-0.4600000000000079,-0.723425605536332,-0.11075124357429106,0.059044900807392775,39.10034602076124,60.89965397923876
F,400 Free,15,16,348,0.2214854530228279,2.4049999999999727,2.3845402298850584,-0.30834391062717625,1.6466470409426393e-09,71.55172413793103,28.160919540229884
F,400 Free,16,17,345,0.19060410317995147,1.2999999999999543,1.2077101449275356,-0.27411880292668783,1.2992105946629806e-07,65.21739130434783,34.78260869565217
F,400 Free,17,18,259,0.18964948376619264,-1.829999999999984,-2.2254054054054038,-0.015961311981007954,0.7980188678811859,34.74903474903475,65.25096525096525
F,800 Free,15,16,298,0.2417254880195048,4.595000000000027,4.228355704697987,-0.32456206797415094,3.557179883983963e-09,63.08724832214765,36.577181208053695
F,800 Free,16,17,282,0.19033825651056804,0.9549999999999841,0.9315957446808534,-0.09360007307547218,0.11568755070994752,54.96453900709219,45.0354609929078
F,800 Free,17,18,184,0.37554334661147215,0.11500000000000905,-2.757663043478262,-0.1936731757776,0.007739700126033089,50.54347826086957,48.91304347826087
F,1500 Free,15,16,281,0.26730876549012356,8.730000000000018,8.65391459074733,-0.1706616159890571,0.003815169702876764,61.20996441281139,38.79003558718861
F,1500 Free,16,17,255,0.2518002950356566,4.350000000000136,3.0862352941176447,-0.15354163267665744,0.013453392714235513,58.82352941176471,41.17647058823529
F,1500 Free,17,18,139,0.43488438759712494,2.5699999999999363,-0.4415107913669017,-0.16962088896805394,0.04395143077802244,52.51798561151079,47.482014388489205
F,100 Back,15,16,343,0.23885688468620223,0.9200000000000016,0.9534110787172011,-0.34835805516907464,6.756373238658853e-12,80.17492711370262,19.533527696793
F,100 Back,16,17,363,0.21846186396341827,0.3900000000000005,0.43443526170798896,-0.28140369411270777,2.5207618659095488e-08,63.91184573002755,35.26170798898072
F,100 Back,17,18,284,0.18387961003093772,-0.3050000000000068,-0.39211267605633815,-0.08874648044202524,0.13459880636977273,38.38028169014084,60.91549295774647
F,200 Back,15,16,339,0.25596098894260194,1.7099999999999795,1.7066371681415935,-0.22187101711194124,2.9522210579280284e-05,73.15634218289085,26.843657817109147
F,200 Back,16,17,350,0.22118219091112573,0.730000000000004,0.6473142857142851,-0.269816691350813,1.7206438873706986e-07,62.28571428571429,37.714285714285715
F,200 Back,17,18,273,0.15805905976894696,-0.4900000000000091,-0.7955677655677651,-0.06715657384885687,0.2678453251892665,42.49084249084249,57.509157509157504
F,100 Breast,15,16,360,0.22371317170951896,1.1149999999999949,1.0483055555555552,-0.25527041468949263,5.870072312674779e-07,75.83333333333333,24.166666666666668
F,100 Breast,16,17,346,0.24996002349949842,0.394999999999996,0.608005780346821,-0.3107918589371813,1.3222929418077456e-09,61.5606936416185,38.4393063583815
F,100 Breast,17,18,279,0.22485268927576008,-0.7099999999999937,-0.8745519713261655,-0.07380378332131278,0.21806159160089278,34.40860215053764,65.59139784946237
F,200 Breast,15,16,61,0.4888690591309756,0.5999999999999943,0.12016393442622925,-0.24759151750242808,0.04965750888420928,52.459016393442624,47.540983606557376
F,200 Breast,16,17,58,0.23838544170855352,3.2550000000000097,3.5977586206896537,-0.358724281213867,0.004029369948572725,87.93103448275862,12.068965517241379
F,200 Breast,17,18,256,0.22135795492759935,-0.8499999999999943,-1.4272265624999996,-0.038738127948249754,0.5366755884363954,42.578125,57.421875
F,100 Fly,15,16,353,0.2676379619745457,0.9099999999999966,0.9146175637393771,-0.3944494822902996,8.881784197001252e-16,78.18696883852692,21.529745042492916
F,100 Fly,16,17,349,0.24765384408994603,0.5600000000000023,0.5912320916905444,-0.3501926564744431,3.298694650766265e-12,72.49283667621776,27.22063037249284
F,100 Fly,17,18,293,0.1730199393736296,-0.3100000000000023,-0.34453924914675804,-0.14379514552627295,0.013185417637604058,39.93174061433447,59.72696245733788
F,200 Fly,15,16,353,0.20780607311579483,2.0200000000000102,1.885779036827195,-0.34262310154560144,8.339107182564476e-12,72.80453257790369,26.912181303116146
F,200 Fly,16,17,332,0.2527012440163343,0.6749999999999972,0.6995783132530127,-0.28123326898430206,1.0166381025911164e-07,58.734939759036145,41.265060240963855
F,200 Fly,17,18,244,0.14768430259136595,-0.5999999999999943,-1.1582786885245897,-0.024623710736160244,0.7015928129895053,44.26229508196721,55.32786885245902
F,200 IM,15,16,346,0.18125212856046824,1.7249999999999943,1.733583815028901,-0.35492454662588035,1.9046986210469186e-12,76.878612716763,23.121387283236995
F,200 IM,16,17,340,0.23333207361543937,0.7350000000000136,0.761617647058825,-0.29673116927370374,1.1124542176332852e-08,62.05882352941177,37.35294117647059
F,200 IM,17,18,283,0.08451016029150175,-0.25,-0.5733922261484105,-0.12078852619440156,0.0413783264855907,46.64310954063604,53.35689045936396
F,400 IM,15,16,341,0.17251215550884702,2.480000000000018,2.6063343108504404,-0.2995859487816435,7.4032613373020695e-09,67.15542521994135,32.84457478005865
F,400 IM,16,17,333,0.2028911213471381,1.0300000000000296,1.0715915915915923,-0.26899102035885925,3.7517676076959106e-07,59.15915915915916,40.84084084084084
F,400 IM,17,18,234,0.1592327433276455,-0.4449999999999932,-2.1699145299145295,-0.051982632359529324,0.4278664998084114,44.01709401709402,55.98290598290598
M,50 Free,15,16,301,0.2894045183792417,0.5500000000000007,0.5525249169435215,-0.4546707741384075,0.0,89.03654485049833,9.30232558139535
M,50 Free,16,17,302,0.29195172652210544,0.370000000000001,0.37109271523178805,-0.471987479551374,0.0,84.43708609271523,15.562913907284766
M,50 Free,17,18,286,0.14700651798773015,0.1050000000000004,0.11776223776223793,-0.21952310221842647,0.00014945977635605345,62.58741258741259,36.36363636363637
M,100 Free,15,16,298,0.2900352321791571,1.2100000000000009,1.2308724832214766,-0.4617817102330424,0.0,90.93959731543623,8.724832214765101
M,100 Free,16,17,329,0.26896522414193813,0.8400000000000034,0.834954407294833,-0.40152185740700014,2.220446049250313e-15,85.71428571428571,13.98176291793313
M,100 Free,17,18,292,0.13232849773155958,0.19500000000000023,0.19517123287671206,-0.14499093103171068,0.012578814996593746,61.64383561643836,38.35616438356164
M,200 Free,15,16,332,0.29276618508360946,2.5799999999999983,2.568012048192771,-0.44769110794051464,0.0,91.26506024096386,8.734939759036145
M,200 Free,16,17,325,0.25463708943919117,1.4699999999999989,1.5471999999999997,-0.352240008703284,1.3419931832459042e-11,82.15384615384616,17.23076923076923
M,200 Free,17,18,302,0.17915963090785633,0.2299999999999897,0.15122516556291424,-0.14192598103044582,0.01301463537994163,54.3046357615894,45.36423841059602
M,400 Free,15,16,329,0.2780730032806803,4.819999999999993,4.8687841945288755,-0.4029158130738177,1.7763568394002505e-15,84.49848024316108,15.501519756838904
M,400 Free,16,17,341,0.23433616180306585,2.569999999999993,2.6368914956011724,-0.27704410758090925,1.1039705527515764e-07,73.02052785923753,26.97947214076246
M,400 Free,17,18,291,0.25535292580358354,0.2999999999999829,-0.41725085910652987,-0.028398311538054423,0.6291198189205287,51.890034364261176,48.10996563573883
M,800 Free,15,16,305,0.32323979164431493,9.950000000000044,10.153311475409835,-0.33276558494548725,8.124390049601971e-10,81.9672131147541,18.0327868852459
M,800 Free,16,17,327,0.23329529890756084,3.699999999999932,3.993088685015293,-0.23576187628042847,1.2224551416251117e-05,66.36085626911316,33.63914373088685
M,800 Free,17,18,238,0.3067993812588861,-0.1750000000000113,-1.7605882352941167,-0.061551008268720744,0.3434549667886142,49.159663865546214,50.84033613445378
M,1500 Free,15,16,282,0.3233308203090603,17.760000000000048,19.466843971631203,-0.3766510813502294,1.0201617328675638e-11,79.07801418439716,20.921985815602838
M,1500 Free,16,17,295,0.29848628235450253,7.939999999999941,7.098881355932201,-0.1801099409243111,0.001722990206763031,63.05084745762712,36.94915254237288
M,1500 Free,17,18,184,0.407072012221866,1.69500000000005,-4.199402173913046,0.036820169033087054,0.6191408911074743,53.2608695652174,46.73913043478261
M,100 Back,15,16,336,0.2692303987362128,1.5400000000000027,1.5522916666666664,-0.5272086885225268,0.0,88.39285714285714,11.607142857142858
M,100 Back,16,17,324,0.28791317733446614,0.8649999999999984,0.9465740740740739,-0.35840899358881173,5.614619880134342e-12,81.79012345679013,17.59259259259259
M,100 Back,17,18,301,0.16539197721130272,0.1199999999999974,0.03857142857142857,-0.16641655643705983,0.003519394048028701,54.15282392026578,45.84717607973422
M,200 Back,15,16,339,0.24303892217178405,3.039999999999992,3.139764011799409,-0.4452522359656323,0.0,88.79056047197639,11.209439528023598
M,200 Back,16,17,355,0.184545004100743,1.5,1.6970704225352113,-0.3169686709699823,3.4059377540529567e-10,74.08450704225352,25.915492957746476
M,200 Back,17,18,283,0.21576708937898198,0.1300000000000238,-0.3267844522968185,-0.10195692634392542,0.08578518522910139,52.29681978798587,47.70318021201413
M,100 Breast,15,16,345,0.30724438771519264,1.9599999999999935,1.9189275362318847,-0.43015356448755326,0.0,89.56521739130436,9.855072463768117
M,100 Breast,16,17,336,0.30535063904096155,1.1499999999999917,1.226130952380952,-0.39008455286012517,9.769962616701378e-15,81.54761904761905,18.452380952380953
M,100 Breast,17,18,289,0.11174243907310152,0.0900000000000034,0.06041522491349447,-0.1698618958822006,0.0034994385499111935,53.28719723183391,46.71280276816609
M,200 Breast,15,16,338,0.25838371444938685,3.694999999999993,3.7557692307692303,-0.3760414995529217,1.0147438445073931e-13,83.4319526627219,16.56804733727811
M,200 Breast,16,17,349,0.26803997502053895,2.25,2.5947564469914037,-0.41177251930676406,0.0,77.36389684813754,22.636103151862464
M,200 Breast,17,18,292,0.2597676904192148,-0.0749999999999886,-0.623150684931507,-0.07757849184965795,0.18513544654843095,49.65753424657534,50.34246575342466
M,100 Fly,15,16,330,0.25089851649263417,1.4750000000000014,1.5370303030303027,-0.5112258022355962,0.0,92.72727272727272,6.666666666666667
M,100 Fly,16,17,320,0.26581400611947376,0.9749999999999978,0.9624062499999999,-0.3951399952104565,1.709743457922741e-14,83.4375,16.25
M,100 Fly,17,18,287,0.15786724784957326,0.2900000000000062,0.21195121951219514,-0.15548661444513928,0.007878486758154502,62.36933797909408,37.282229965156795
M,200 Fly,15,16,337,0.24476767555771883,3.629999999999996,3.7142136498516316,-0.48511784724851087,0.0,88.13056379821958,11.869436201780417
M,200 Fly,16,17,344,0.2250704877723062,2.0600000000000094,2.146308139534884,-0.3883159057315008,6.661338147750939e-15,76.74418604651163,23.25581395348837
M,200 Fly,17,18,275,0.21678918013559137,0.3299999999999983,0.009745454545454519,-0.12965682404473372,0.030732482217963764,54.18181818181819,45.09090909090909
M,200 IM,15,16,333,0.2178066435284614,2.8100000000000023,2.8623723723723726,-0.4295919399408896,0.0,87.38738738738738,12.612612612612612
M,200 IM,16,17,316,0.2743859862086569,1.82500000000001,1.902753164556962,-0.3960198351640307,2.1316282072803006e-14,81.9620253164557,18.037974683544302
M,200 IM,17,18,287,0.14315782373509825,-0.0100000000000193,-0.17212543554007034,-0.19857533413181,0.0006251678460598153,49.12891986062718,50.522648083623686
M,400 IM,15,16,49,0.30087239149848916,1.829999999999984,1.1322448979591841,-0.40726243224559444,0.0022351667889699556,57.14285714285714,42.857142857142854
M,400 IM,16,17,55,0.17901591794536698,8.569999999999993,9.267454545454546,-0.34343879763606183,0.007763165207179679,94.54545454545455,5.454545454545454
M,400 IM,17,18,263,0.17410165676114647,0.4499999999999886,-0.5474144486692009,-0.1299401480234954,0.034243108571361924,52.09125475285171,47.90874524714829
