gender,event,age_from,age_to,zscore_range,n_athletes,mean_zscore,median_zscore,min_zscore,max_zscore,median_improvement,mean_improvement,std_improvement,pct_improving,pct_getting_slower,q25_improvement,q75_improvement,transition,gender_event
F,100 Back,16,17,Top 6.7% (1.5 ≤ z < 2.0),21,1.6928714759365548,1.6319282142419451,1.5065592187558916,1.945350702957077,-0.0799999999999983,-0.0090476190476192,0.8545670291183938,42.85714285714285,52.38095238095239,-0.3399999999999963,0.4600000000000008,16→17,F 100 Back
F,100 Back,17,18,Above Average (0.5 ≤ z < 1.0),41,0.7063841649112079,0.6960852931628629,0.5007929376349183,0.99694108411133,-0.4399999999999977,-0.4778048780487806,1.1773275073183334,31.70731707317073,68.29268292682927,-1.3199999999999932,0.3499999999999943,17→18,F 100 Back
F,100 Back,17,18,Average (0 ≤ z < 0.5),51,0.224879095643652,0.2157716619995289,0.0099229629295276,0.4955147658638899,-0.4000000000000057,-0.599411764705882,1.4033816466435998,43.13725490196079,56.86274509803921,-1.2950000000000017,0.4199999999999946,17→18,F 100 Back
F,100 Back,17,18,Below Average (-0.5 ≤ z < 0),53,-0.2824678355559687,-0.2856546562479109,-0.4915033553179123,-0.0111897241545708,-0.3000000000000113,-0.3500000000000007,1.465223274891243,43.39622641509434,56.60377358490566,-0.9699999999999988,0.5799999999999983,17→18,F 100 Back
F,100 Back,17,18,Bottom 15.9% (z < -1.0),29,-1.140900489077206,-1.124883967840994,-1.2832291209717623,-1.0140423606494506,-0.3599999999999852,-0.0151724137931023,1.655672841016722,37.93103448275862,62.06896551724138,-1.1599999999999966,0.9099999999999966,17→18,F 100 Back
F,100 Back,17,18,Lower (-1.0 ≤ z < -0.5),55,-0.7399612955940089,-0.7448556003271389,-0.9929296735653522,-0.5020596988599615,-0.1500000000000056,-0.2470909090909094,1.3212909289812984,40.0,56.36363636363636,-1.0549999999999995,0.5499999999999972,17→18,F 100 Back
F,100 Back,17,18,Top 15.9% (1.0 ≤ z < 1.5),23,1.2447856716203596,1.218624298494409,1.0022192558823506,1.4878110588167168,-0.4200000000000017,-0.6304347826086966,1.4213694506749146,26.08695652173913,73.91304347826086,-1.0300000000000011,0.0049999999999954,17→18,F 100 Back
F,100 Back,17,18,Top 2.5% (z ≥ 2.0),19,2.603727690617246,2.511776382395695,2.010350064148255,3.852432012236214,-0.4299999999999997,-0.5642105263157894,0.968940364193216,31.57894736842105,68.42105263157895,-1.3299999999999983,0.0600000000000022,17→18,F 100 Back
F,100 Back,17,18,Top 6.7% (1.5 ≤ z < 2.0),13,1.7265468281523373,1.6936597578867143,1.5775399789241502,1.9258993158118465,-0.0400000000000062,-0.261538461538462,0.8488530375099912,46.15384615384615,53.84615384615385,-0.6600000000000037,0.2199999999999988,17→18,F 100 Back
F,100 Breast,16,17,Above Average (0.5 ≤ z < 1.0),40,0.7285627961992978,0.7128836563242469,0.5011134554144353,0.9938864229161066,-0.3849999999999908,-0.2524999999999988,1.7117458193318311,42.5,57.49999999999999,-1.134999999999991,0.7199999999999989,16→17,F 100 Breast
F,100 Breast,16,17,Top 15.9% (1.0 ≤ z < 1.5),33,1.2300916470078198,1.2626716779170182,1.0386839654162583,1.4948043981450825,-0.3599999999999994,-0.1966666666666656,1.7532682324588833,39.39393939393939,60.60606060606061,-1.3199999999999932,0.8900000000000006,16→17,F 100 Breast
F,100 Breast,16,17,Top 2.5% (z ≥ 2.0),16,2.6783758335184213,2.785788122922196,2.048664923601509,3.3600111676968725,-0.519999999999996,-0.1987500000000004,0.8971264891307148,31.25,68.75,-0.692499999999999,0.3475000000000001,16→17,F 100 Breast
F,100 Breast,17,18,Above Average (0.5 ≤ z < 1.0),47,0.7561593523881681,0.7741360305325374,0.5006647287130951,0.9945457364765724,-0.7399999999999949,-1.1587234042553194,1.9898482963893829,36.17021276595745,63.82978723404256,-2.134999999999998,0.4400000000000048,17→18,F 100 Breast
F,100 Breast,17,18,Average (0 ≤ z < 0.5),44,0.2200505197565692,0.1965809677347524,0.0027020597284242,0.4802564226071615,-0.5200000000000031,-0.8470454545454554,2.1326590098933624,34.090909090909086,65.9090909090909,-1.960000000000004,0.5875000000000021,17→18,F 100 Breast
F,100 Breast,17,18,Below Average (-0.5 ≤ z < 0),43,-0.2571004231177475,-0.2911775481969517,-0.4707706419291252,-0.0095429239351278,-0.8400000000000034,-0.9411627906976752,2.0644715628858408,37.2093023255814,62.7906976744186,-2.289999999999999,0.5499999999999972,17→18,F 100 Breast
F,100 Breast,17,18,Bottom 15.9% (z < -1.0),35,-1.195323818135618,-1.205469661742565,-1.352409465705253,-1.046284874116319,-0.4500000000000028,-0.3940000000000005,2.2654853784564577,34.285714285714285,65.71428571428571,-1.9099999999999968,1.1700000000000017,17→18,F 100 Breast
F,100 Breast,17,18,Lower (-1.0 ≤ z < -0.5),49,-0.7337462434655229,-0.7442419437485734,-0.9646516496926024,-0.5034239316986109,-0.8700000000000045,-0.7969387755102046,2.208496768357019,36.734693877551024,63.26530612244898,-2.25,0.9000000000000057,17→18,F 100 Breast
F,100 Breast,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.2327398234557705,1.24760873219009,1.0027090589189422,1.4925084054612374,-0.585000000000008,-0.7500000000000006,1.4455300560199855,32.142857142857146,67.85714285714286,-1.6900000000000013,0.2674999999999983,17→18,F 100 Breast
F,100 Breast,17,18,Top 2.5% (z ≥ 2.0),17,2.559982863660767,2.533332016863611,2.006797719330648,3.672115497574447,-0.9699999999999988,-1.0523529411764732,1.3100180933270706,23.52941176470588,76.47058823529412,-1.960000000000008,-0.0300000000000011,17→18,F 100 Breast
F,100 Breast,17,18,Top 6.7% (1.5 ≤ z < 2.0),16,1.7700613685018698,1.7659797072806829,1.6312848869815555,1.9986343968882725,-0.5349999999999966,-1.2543750000000005,2.481201747011919,31.25,68.75,-0.9350000000000094,0.0975000000000001,17→18,F 100 Breast
F,100 Fly,16,17,Top 2.5% (z ≥ 2.0),21,2.6249133729637584,2.35406729749355,2.0481515110560835,4.1838969089621,0.009999999999998,0.0271428571428575,0.711063207003246,52.38095238095239,47.61904761904761,-0.4200000000000017,0.6700000000000017,16→17,F 100 Fly
F,100 Fly,17,18,Above Average (0.5 ≤ z < 1.0),36,0.751938106868575,0.7564932588878098,0.5133423855851549,0.9939894607183112,-0.4599999999999973,-0.8363888888888886,1.2990534006168963,27.77777777777778,72.22222222222221,-1.5775000000000008,0.0675000000000025,17→18,F 100 Fly
F,100 Fly,17,18,Average (0 ≤ z < 0.5),57,0.2214819738118338,0.2136447975609514,0.01007662456338,0.4567956708636063,-0.0900000000000034,-0.3321052631578944,1.591212421826768,49.122807017543856,50.877192982456144,-1.1400000000000006,0.7899999999999991,17→18,F 100 Fly
F,100 Fly,17,18,Below Average (-0.5 ≤ z < 0),53,-0.2662554341702192,-0.2726569490443585,-0.4988438079305444,-0.0125420613252345,-0.3200000000000074,-0.3854716981132086,1.2945321381665926,39.62264150943396,60.37735849056604,-1.2600000000000051,0.5600000000000023,17→18,F 100 Fly
F,100 Fly,17,18,Lower (-1.0 ≤ z < -0.5),51,-0.7673852649022902,-0.7419946812332034,-0.9964548974801696,-0.5044984794027021,0.0,-0.0807843137254911,1.365359743067457,49.01960784313725,49.01960784313725,-1.0900000000000034,0.7949999999999946,17→18,F 100 Fly
F,100 Fly,17,18,Top 15.9% (1.0 ≤ z < 1.5),29,1.1958027356728005,1.1862482907715752,1.027917489551241,1.4124351496577652,-0.3800000000000025,-0.3624137931034484,0.9193613044312948,31.03448275862069,68.96551724137932,-1.0600000000000025,0.2700000000000031,17→18,F 100 Fly
F,100 Fly,17,18,Top 2.5% (z ≥ 2.0),15,2.7258268435902457,2.5886068158659565,2.011830325706168,4.268044243095923,-0.6900000000000048,-0.8433333333333342,0.6978220085061482,6.666666666666667,93.33333333333331,-1.2650000000000006,-0.4100000000000001,17→18,F 100 Fly
F,100 Fly,17,18,Top 6.7% (1.5 ≤ z < 2.0),17,1.719783175556059,1.7573701094592058,1.5368379220451696,1.9213555821516937,-0.5200000000000031,-0.3847058823529419,0.736710635564353,29.411764705882355,70.58823529411765,-0.7800000000000011,0.1199999999999974,17→18,F 100 Fly
F,100 Free,15,16,Top 6.7% (1.5 ≤ z < 2.0),21,1.7578334498555637,1.7739475177425192,1.5063790416660872,1.9942980274525253,0.009999999999998,0.0652380952380961,0.8351995430099267,52.38095238095239,42.85714285714285,-0.2399999999999948,0.8699999999999974,15→16,F 100 Free
F,100 Free,16,17,Top 15.9% (1.0 ≤ z < 1.5),36,1.1753838397764211,1.1704338396089078,1.0043838339895712,1.4660838496140636,0.0150000000000005,0.1263888888888884,0.644067598150734,50.0,50.0,-0.2050000000000018,0.6074999999999964,16→17,F 100 Free
F,100 Free,17,18,Above Average (0.5 ≤ z < 1.0),53,0.7329093545518426,0.7197836567781304,0.5094672436133191,0.9867237196411608,-0.1700000000000017,-0.3966037735849058,1.0045179889750306,41.50943396226416,56.60377358490566,-0.9600000000000009,0.2299999999999968,17→18,F 100 Free
F,100 Free,17,18,Average (0 ≤ z < 0.5),49,0.2240378257467866,0.2182599023081939,0.0079434891433826,0.4851999651712244,-0.5,-0.5024489795918374,0.831179468358914,34.69387755102041,65.3061224489796,-1.0800000000000054,0.0700000000000002,17→18,F 100 Free
F,100 Free,17,18,Below Average (-0.5 ≤ z < 0),52,-0.2593076926740379,-0.2549520273126359,-0.4935802653265596,-0.0163237892987121,-0.0799999999999982,-0.0574999999999999,1.0404989095473536,46.15384615384615,53.84615384615385,-0.7325000000000035,0.7225000000000037,17→18,F 100 Free
F,100 Free,17,18,Lower (-1.0 ≤ z < -0.5),78,-0.7531571796024594,-0.7726539674106374,-0.995104019796496,-0.5097584509546189,0.015000000000004,-0.0885897435897437,0.9397363574073676,50.0,50.0,-0.8375000000000021,0.6574999999999953,17→18,F 100 Free
F,100 Free,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.2805311264936563,1.294109246574351,1.019080090897291,1.4882474741111031,-0.5300000000000011,-0.5210714285714287,0.7885263800538408,32.142857142857146,67.85714285714286,-0.9449999999999984,0.0800000000000017,17→18,F 100 Free
F,100 Free,17,18,Top 6.7% (1.5 ≤ z < 2.0),11,1.7529814207521257,1.8118111866723523,1.5206038453672277,1.97359304295298,-0.3300000000000054,0.0054545454545437,1.0844216190826723,45.45454545454545,54.54545454545454,-0.5850000000000044,0.9849999999999994,17→18,F 100 Free
F,1500 Free,16,17,Top 15.9% (1.0 ≤ z < 1.5),26,1.247947551719878,1.2456667909011694,1.034601383469907,1.456352071529314,-0.8350000000000366,-2.6899999999999933,21.18286462795233,50.0,50.0,-9.967500000000086,8.134999999999991,16→17,F 1500 Free
F,1500 Free,16,17,Top 2.5% (z ≥ 2.0),13,2.249925254084744,2.132407590874652,2.002974414412978,3.22204107201236,-0.4900000000000091,-3.023846153846132,12.550620296323418,38.46153846153847,61.53846153846154,-8.169999999999959,3.509999999999991,16→17,F 1500 Free
F,1500 Free,16,17,Top 6.7% (1.5 ≤ z < 2.0),22,1.7381556213226226,1.6902250871476538,1.5230643254765204,1.996892385563092,-2.1900000000000546,-4.784999999999963,26.008577737144527,45.45454545454545,54.54545454545454,-14.032499999999912,15.079999999999927,16→17,F 1500 Free
F,1500 Free,17,18,Above Average (0.5 ≤ z < 1.0),35,0.7521218350204247,0.730744965848581,0.5241427587223797,0.9930131563644824,-4.170000000000073,-5.920857142857124,27.884889750690487,40.0,60.0,-23.809999999999945,15.020000000000095,17→18,F 1500 Free
F,1500 Free,17,18,Below Average (-0.5 ≤ z < 0),16,-0.2187877219150401,-0.1698668385383446,-0.4265794318977665,-0.0426381630636637,-5.085000000000036,-4.614999999999981,36.758205036426936,43.75,56.25,-21.41000000000008,14.654999999999973,17→18,F 1500 Free
F,1500 Free,17,18,Top 6.7% (1.5 ≤ z < 2.0),11,1.6460833531570558,1.6175502862129636,1.503578035636422,1.8724476844618496,-2.800000000000182,-5.704545454545485,29.2402789949494,45.45454545454545,54.54545454545454,-15.060000000000002,5.369999999999891,17→18,F 1500 Free
F,200 Back,16,17,Top 2.5% (z ≥ 2.0),22,2.6988654217116443,2.500371226339812,2.00765373288562,4.054829513210785,-0.0600000000000022,-0.5109090909090913,1.9882836570334868,50.0,50.0,-1.92499999999999,0.5425000000000182,16→17,F 200 Back
F,200 Back,16,17,Top 6.7% (1.5 ≤ z < 2.0),16,1.6931648017760277,1.7002503409518068,1.541098230234301,1.907366101474588,-0.5049999999999955,-0.0312499999999982,1.14958076597514,43.75,56.25,-0.8799999999999812,0.9025000000000034,16→17,F 200 Back
F,200 Back,17,18,Above Average (0.5 ≤ z < 1.0),34,0.7270594715645332,0.7328193621717223,0.5029245979368757,0.9627141264065748,-1.5600000000000025,-2.773529411764704,4.340801554032145,23.52941176470588,76.47058823529412,-4.8825,-0.1000000000000013,17→18,F 200 Back
F,200 Back,17,18,Bottom 15.9% (z < -1.0),31,-1.1485685247072046,-1.129753959175442,-1.31281830847356,-1.0148065770580126,-1.089999999999975,-0.2777419354838686,4.326364569129097,41.935483870967744,58.06451612903226,-2.25,3.1200000000000045,17→18,F 200 Back
F,200 Back,17,18,Lower (-1.0 ≤ z < -0.5),59,-0.7657899947057021,-0.7785258471499755,-0.9807480934676652,-0.5018006679783944,-0.1200000000000045,-0.4283050847457648,3.837411359343899,47.45762711864407,52.54237288135594,-2.460000000000008,2.230000000000004,17→18,F 200 Back
F,200 Back,17,18,Top 15.9% (1.0 ≤ z < 1.5),37,1.250485300256104,1.2436966160269456,1.0095445413433033,1.4970065877301597,-0.8600000000000136,-0.9370270270270274,2.8411454340895514,35.13513513513514,64.86486486486487,-2.4199999999999875,0.9099999999999966,17→18,F 200 Back
F,200 Back,17,18,Top 2.5% (z ≥ 2.0),12,2.71495215195584,2.546433613357763,2.0142698072585734,3.870457162932547,-0.1049999999999897,-0.05833333333333,2.192710777908375,41.66666666666667,58.333333333333336,-0.5625000000000071,1.1750000000000045,17→18,F 200 Back
F,200 Back,17,18,Top 6.7% (1.5 ≤ z < 2.0),12,1.757234688912665,1.765217146004152,1.5523516235644794,1.926994943058307,-0.7049999999999983,-0.7575000000000026,2.2038418160112987,25.0,75.0,-2.6899999999999835,0.0849999999999867,17→18,F 200 Back
F,200 Breast,15,16,Above Average (0.5 ≤ z < 1.0),10,0.663714266522971,0.6117323730964646,0.5054057729058893,0.967063148092333,-3.3349999999999937,-2.482000000000002,4.454181855290603,30.0,70.0,-5.892500000000005,0.5424999999999969,15→16,F 200 Breast
F,200 Breast,15,16,Average (0 ≤ z < 0.5),8,0.1348530273699163,0.0846432439465878,0.0164851669013475,0.3509141316033347,-0.269999999999996,-0.0474999999999994,3.372905831771769,50.0,50.0,-2.7475000000000023,3.262500000000003,15→16,F 200 Breast
F,200 Breast,15,16,Lower (-1.0 ≤ z < -0.5),11,-0.7240833211393298,-0.7341624549569316,-0.9868017272046292,-0.5415022905090446,-2.1599999999999966,0.6263636363636326,4.88891189367657,36.36363636363637,63.63636363636363,-2.65000000000002,2.780000000000001,15→16,F 200 Breast
F,200 Breast,17,18,Above Average (0.5 ≤ z < 1.0),27,0.7376894387113773,0.7388016462400501,0.5269261120282586,0.9990582079490208,-0.2100000000000079,-1.4081481481481506,3.40739613524705,44.44444444444444,55.55555555555556,-3.8349999999999937,0.9549999999999984,17→18,F 200 Breast
F,200 Breast,17,18,Average (0 ≤ z < 0.5),43,0.2372995119749691,0.2166202115290994,0.0064129886103173,0.4968965087541454,-0.7199999999999989,-1.4193023255813948,4.801335761498643,44.18604651162791,55.81395348837209,-2.414999999999992,1.4749999999999943,17→18,F 200 Breast
F,200 Breast,17,18,Below Average (-0.5 ≤ z < 0),42,-0.2630590069076396,-0.2863756433122758,-0.4940803992915485,-0.0119384356127486,-1.0649999999999975,-2.2259523809523807,4.37355639286176,30.952380952380956,69.04761904761905,-4.897500000000008,0.3600000000000136,17→18,F 200 Breast
F,200 Breast,17,18,Bottom 15.9% (z < -1.0),33,-1.1830929633031169,-1.1697464729590643,-1.394968497514908,-1.007920277537466,-0.1800000000000068,-0.2221212121212133,4.911368850463956,48.48484848484848,51.51515151515152,-3.340000000000032,1.3600000000000136,17→18,F 200 Breast
F,200 Breast,17,18,Lower (-1.0 ≤ z < -0.5),46,-0.7329027876490687,-0.725975669019413,-0.9945737871934144,-0.5007536444635721,-1.4549999999999983,-1.353913043478261,5.006340535526517,41.30434782608695,58.69565217391305,-3.677499999999995,2.074999999999996,17→18,F 200 Breast
F,200 Breast,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.2480536684301955,1.2434658123744278,1.015741320879082,1.4778635490418015,-1.9849999999999997,-2.6407142857142807,5.8315355295713545,42.85714285714285,57.14285714285714,-5.132499999999993,1.407499999999992,17→18,F 200 Breast
F,200 Breast,17,18,Top 2.5% (z ≥ 2.0),18,2.39098593008054,2.3987713827812365,2.0484260112499317,3.0644275886907195,-0.0649999999999977,-1.3911111111111092,3.577059451698788,44.44444444444444,55.55555555555556,-3.5649999999999906,0.8500000000000086,17→18,F 200 Breast
F,200 Fly,16,17,Top 15.9% (1.0 ≤ z < 1.5),35,1.2260694416888054,1.2289591348722342,1.010711254965786,1.4844688479334436,-0.410000000000025,-0.9239999999999984,3.0620797787498257,45.71428571428572,54.285714285714285,-2.5450000000000017,1.075000000000017,16→17,F 200 Fly
F,200 Fly,16,17,Top 2.5% (z ≥ 2.0),13,2.663061995520811,2.4426302719129813,2.133889368630689,4.243618874393038,-0.5800000000000125,-1.0700000000000007,2.731176134364661,46.15384615384615,53.84615384615385,-2.8799999999999955,0.8799999999999955,16→17,F 200 Fly
F,200 Fly,16,17,Top 6.7% (1.5 ≤ z < 2.0),24,1.7274100855257888,1.7399785609946554,1.5128588160513603,1.990165155033759,-0.1799999999999926,-0.6404166666666669,3.5499230967804856,50.0,50.0,-1.5875000000000057,1.7849999999999897,16→17,F 200 Fly
F,200 Fly,17,18,Above Average (0.5 ≤ z < 1.0),42,0.7448717452944787,0.7133670139754177,0.510565200811008,0.997622014394387,-0.4600000000000079,-1.6788095238095235,4.226224366061299,47.61904761904761,52.38095238095239,-3.917499999999997,1.5199999999999958,17→18,F 200 Fly
F,200 Fly,17,18,Average (0 ≤ z < 0.5),37,0.2504361582275042,0.2844910484310124,0.0035606678999812,0.4972667212592413,-0.0699999999999931,-0.5927027027027029,3.2450100142673537,48.64864864864865,51.35135135135135,-2.0999999999999943,1.6599999999999966,17→18,F 200 Fly
F,200 Fly,17,18,Below Average (-0.5 ≤ z < 0),40,-0.2700971066261728,-0.2723827827991309,-0.4967946252351597,-0.0629317298588426,-0.5349999999999966,-1.4695,5.099350914577266,45.0,55.00000000000001,-3.1850000000000094,2.069999999999993,17→18,F 200 Fly
F,200 Fly,17,18,Bottom 15.9% (z < -1.0),35,-1.2681064392375054,-1.2780802989013271,-1.5590106794323584,-1.0054614680901557,-0.0900000000000034,0.0108571428571459,5.270961620820557,48.57142857142857,51.42857142857142,-4.359999999999999,3.855000000000018,17→18,F 200 Fly
F,200 Fly,17,18,Lower (-1.0 ≤ z < -0.5),39,-0.745160780197121,-0.7677511461023624,-0.9788645089866268,-0.5084307948429526,-1.6400000000000148,-1.9376923076923112,5.03708221480043,35.8974358974359,64.1025641025641,-5.030000000000001,1.4650000000000034,17→18,F 200 Fly
F,200 Fly,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.261513717999714,1.2694096902335743,1.0242189734979157,1.4880034478657045,-1.4299999999999926,-1.4649999999999963,3.700994557451513,35.714285714285715,64.28571428571429,-3.694999999999985,1.292500000000018,17→18,F 200 Fly
F,200 Fly,17,18,Top 6.7% (1.5 ≤ z < 2.0),17,1.6575590621507033,1.625975173215264,1.507951167193352,1.930177892961876,-0.6200000000000045,-0.9382352941176464,2.3997505637390883,41.17647058823529,52.94117647058824,-1.960000000000008,0.7600000000000193,17→18,F 200 Fly
F,200 Free,17,18,Above Average (0.5 ≤ z < 1.0),34,0.7630580011171272,0.7896272625438192,0.5027724646142402,0.9909010710358416,-1.3400000000000034,-1.6308823529411762,2.5978807739330407,23.52941176470588,76.47058823529412,-3.4800000000000004,-0.0149999999999934,17→18,F 200 Free
F,200 Free,17,18,Average (0 ≤ z < 0.5),46,0.2515419593893477,0.2729716596430344,0.0019651930907814,0.4900937995123829,-0.0800000000000054,-0.3793478260869559,2.2673317033310454,50.0,50.0,-1.7075000000000031,0.8175000000000026,17→18,F 200 Free
F,200 Free,17,18,Below Average (-0.5 ≤ z < 0),73,-0.2642867740482714,-0.2484384426709457,-0.4925027458817487,-0.0075438057356137,-0.3700000000000045,-0.5369863013698642,2.1978468198780297,45.20547945205479,54.7945205479452,-2.1200000000000045,0.789999999999992,17→18,F 200 Free
F,200 Free,17,18,Bottom 15.9% (z < -1.0),30,-1.1533781643161851,-1.1422843323520588,-1.2880889810234435,-1.0059886825070692,-0.5150000000000006,-0.1320000000000002,2.245219217210947,30.0,70.0,-1.7549999999999883,1.3099999999999952,17→18,F 200 Free
F,200 Free,17,18,Lower (-1.0 ≤ z < -0.5),47,-0.7716356972466268,-0.7714333781226613,-0.993310017405203,-0.5020117447081439,-0.9499999999999886,-0.7312765957446801,2.0440339933689926,34.04255319148936,65.95744680851064,-2.309999999999988,0.5499999999999972,17→18,F 200 Free
F,200 Free,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.243795158871151,1.2508137056239663,1.0035797361377037,1.498047675110229,-0.1850000000000022,-0.8767857142857122,2.369370099492127,42.85714285714285,57.14285714285714,-2.370000000000001,0.6550000000000011,17→18,F 200 Free
F,200 Free,17,18,Top 2.5% (z ≥ 2.0),12,3.0131481547824683,2.846740675320558,2.008363945460083,4.655035285473304,-0.4599999999999937,-0.4899999999999984,0.9741064281346952,41.66666666666667,58.333333333333336,-0.904999999999994,0.1349999999999979,17→18,F 200 Free
F,200 Free,17,18,Top 6.7% (1.5 ≤ z < 2.0),19,1.6985707731685913,1.6692096539853374,1.5075566739366242,1.8942559595433452,-1.0699999999999932,-1.4847368421052636,2.2885282984602107,36.84210526315789,63.1578947368421,-2.950000000000003,0.4949999999999974,17→18,F 200 Free
F,200 IM,16,17,Above Average (0.5 ≤ z < 1.0),59,0.717960692837395,0.7282172715354375,0.5002728588560973,0.9941524196613304,-0.0400000000000204,0.1328813559322044,2.8752762878871856,49.15254237288136,50.84745762711864,-1.625,1.5050000000000097,16→17,F 200 IM
F,200 IM,16,17,Top 15.9% (1.0 ≤ z < 1.5),28,1.262122785757578,1.2912942433326116,1.0022932915427356,1.4880319804665711,-0.0099999999999909,-0.5385714285714259,2.751420041523644,50.0,50.0,-1.8474999999999897,1.5649999999999906,16→17,F 200 IM
F,200 IM,16,17,Top 2.5% (z ≥ 2.0),19,2.6700294487210847,2.467650230195632,2.0063341569160125,5.406504979382826,-0.1200000000000045,0.3921052631578979,1.84051359807776,47.368421052631575,52.63157894736842,-0.7599999999999909,1.5000000000000142,16→17,F 200 IM
F,200 IM,16,17,Top 6.7% (1.5 ≤ z < 2.0),18,1.7410020363368928,1.7607511884936364,1.501600100268908,1.878793830774009,0.0150000000000005,-0.4383333333333294,2.3903376098134936,50.0,50.0,-1.8074999999999903,0.7875000000000085,16→17,F 200 IM
F,200 IM,17,18,Above Average (0.5 ≤ z < 1.0),39,0.6990189607732291,0.6880952845915829,0.5062560408361172,0.9634518537070076,-0.1500000000000056,-1.058717948717947,3.5083659572054104,43.58974358974359,56.41025641025641,-2.440000000000012,1.1450000000000102,17→18,F 200 IM
F,200 IM,17,18,Average (0 ≤ z < 0.5),39,0.2271028281697514,0.2127155473451401,0.0023015652852474,0.4828767094961274,-0.8899999999999864,-0.6305128205128199,2.5306844606902743,46.15384615384615,53.84615384615385,-2.0149999999999864,1.4150000000000065,17→18,F 200 IM
